Std_id,Reference,Analysis,Design,Coding,github,Testing,Results,Report,Presentation,Proposal,NumOfMeetings,Evaluation
51,41,24,28,34,30,1,12,31,23,72,7,
52,58,62,46,55,31,12,18,33,33,46,2,
53,57,47,40,48,79,21,32,76,93,37,5,
54,9,18,36,64,25,1,40,23,16,43,3,
55,6,39,28,29,7,10,10,27,63,35,2,
56,78,63,6,55,92,42,1,5,10,4,5,
57,11,39,21,36,20,22,13,3,44,31,7,
58,23,50,14,25,99,21,45,17,79,55,6,
59,22,0,84,90,52,21,7,54,62,23,2,
60,81,65,10,73,15,34,36,27,86,88,9,
61,89,3,94,91,26,61,41,53,52,44,10,
62,42,88,49,54,1,82,17,8,41,37,4,
63,4,42,5,81,61,31,3,19,9,35,1,
64,10,5,4,4,83,61,61,80,51,23,5,
65,24,43,20,81,37,27,81,88,52,26,1,
66,37,10,91,35,90,77,98,99,31,57,0,
67,67,78,94,50,97,79,74,12,88,21,5,
68,26,77,25,16,5,74,5,14,20,43,1,
69,82,79,36,73,98,5,17,61,20,22,9,
70,32,3,16,65,98,6,2,63,3,9,6,
71,2,7,9,8,77,90,61,61,53,12,8,
72,60,5,14,8,18,12,1,59,36,27,3,
73,18,30,14,0,2,14,15,6,19,63,9,
74,20,94,55,57,50,79,54,48,24,99,5,
75,24,51,6,18,42,40,13,4,86,86,0,
76,79,5,24,28,28,70,76,21,88,84,4,
77,33,23,6,40,41,14,45,21,12,35,2,
78,47,93,90,82,43,50,54,80,68,99,7,
79,71,90,27,16,11,40,37,13,14,99,6,
80,27,16,5,28,18,36,8,17,20,10,0,
81,11,20,36,76,53,19,63,16,50,34,5,
82,67,33,31,1,29,84,74,49,71,35,0,
83,58,23,21,75,23,54,92,61,6,98,8,
84,85,9,7,48,58,12,67,25,34,62,3,
85,19,39,6,37,0,41,76,59,31,21,9,
86,36,30,86,97,84,10,10,43,61,19,4,
87,33,18,19,63,46,1,36,28,40,49,4,
88,49,90,1,19,67,45,37,44,41,34,10,
89,35,43,55,42,53,57,90,74,94,87,1,
90,79,55,100,81,52,65,7,54,7,23,4,
91,9,14,67,12,99,10,28,34,95,91,1,
92,47,24,38,24,1,8,16,8,52,40,4,
93,35,47,97,73,67,36,63,78,97,62,9,
94,18,29,4,4,77,3,19,29,28,37,7,
95,14,3,28,60,50,15,50,28,2,3,4,
96,28,2,9,34,24,33,11,7,11,6,2,
97,33,47,28,19,15,12,15,37,47,22,7,
98,3,20,37,59,90,6,93,94,95,76,0,
99,17,18,26,23,1,5,13,19,68,46,3,
100,81,64,37,33,45,24,32,96,18,88,6,
101,89,15,60,48,80,28,82,37,4,43,7,
102,16,2,1,36,28,13,2,36,2,9,1,
103,21,19,22,27,28,16,7,41,49,12,7,
104,36,7,22,4,14,37,92,44,91,30,10,
105,43,85,14,78,11,3,24,4,9,78,5,
106,98,77,48,98,95,41,66,77,9,67,9,
107,61,82,30,2,52,67,67,93,49,20,0,
108,30,20,40,3,55,10,26,32,27,22,0,
109,27,12,40,7,35,14,27,20,47,12,1,
110,68,45,3,12,21,93,46,33,99,32,4,
111,31,0,16,50,5,7,12,20,37,5,2,
112,75,8,82,66,77,69,50,87,39,14,0,
113,74,27,79,65,7,65,88,73,19,21,5,
114,47,12,78,87,29,89,57,98,42,63,5,
115,75,17,62,96,98,81,5,16,52,10,7,
116,30,43,72,82,35,78,54,78,0,63,8,
117,79,67,74,77,60,31,22,47,92,39,4,
118,74,18,8,31,50,20,70,12,66,3,4,
119,19,52,35,57,10,9,97,71,34,49,1,
120,29,0,9,1,66,12,43,33,23,36,0,
121,70,2,22,51,88,67,20,93,89,87,5,
122,46,88,76,10,14,63,6,28,49,80,5,
123,92,8,2,18,17,71,52,35,7,61,8,
124,4,37,3,36,59,31,10,12,12,6,1,
125,63,55,48,14,32,72,48,68,53,12,10,
126,73,11,54,13,80,75,38,14,31,16,10,
127,79,40,76,22,24,93,10,60,29,44,2,
128,6,15,8,77,4,15,9,90,77,97,7,
129,100,65,19,98,12,45,100,26,92,94,6,
130,1,22,8,33,13,49,78,63,73,20,9,
131,9,84,60,98,52,38,85,30,18,44,8,
132,95,1,99,34,18,62,18,49,54,46,3,
133,37,21,17,38,15,12,16,15,12,38,4,
134,6,3,4,8,44,69,99,81,79,23,9,
135,7,41,80,5,36,79,98,8,100,73,7,
136,27,43,48,18,30,13,12,39,33,16,5,
137,81,65,57,25,22,48,68,28,2,21,7,
138,72,17,54,84,77,49,65,55,46,99,8,
139,37,28,28,12,55,6,25,30,38,12,3,
140,34,7,25,41,12,0,4,21,13,22,1,
141,0,7,5,5,17,30,35,13,66,6,4,
142,10,32,59,68,22,100,65,64,55,31,6,
143,25,23,3,8,21,27,18,21,26,3,2,
144,81,76,70,2,10,0,7,42,23,36,9,
145,72,56,21,40,42,56,60,41,41,4,1,
146,5,5,9,5,33,6,32,7,95,7,1,
147,2,66,2,34,24,17,5,69,55,52,2,
148,75,91,99,38,10,94,8,4,1,3,1,
149,68,23,19,32,59,15,3,39,45,75,0,
150,100,74,7,6,9,59,12,41,2,19,3,
151,28,11,30,54,8,90,1,8,6,5,8,
152,48,9,34,64,20,9,59,51,10,37,8,
153,59,76,91,13,23,73,22,41,100,54,6,
154,35,48,66,84,17,83,53,86,99,53,1,
155,4,9,8,8,51,36,47,9,72,96,6,
156,50,39,79,5,43,91,23,50,2,94,3,
157,64,79,20,47,20,64,83,69,5,78,3,
158,90,16,52,12,12,46,27,58,46,36,6,
159,94,54,8,77,91,45,42,45,93,19,7,
160,33,32,30,80,33,90,73,10,56,40,2,
161,19,9,7,43,49,36,12,12,7,3,3,
162,56,61,26,82,12,67,56,87,12,46,9,
163,82,44,17,97,9,85,5,1,4,4,2,
164,86,12,81,27,91,7,90,16,54,89,6,
165,61,36,52,61,8,84,80,8,58,91,5,
166,6,66,2,33,7,1,53,11,32,49,5,
167,40,25,22,94,2,6,15,44,20,70,2,
168,26,94,36,27,64,61,49,81,53,50,3,
169,3,86,45,33,34,34,97,58,97,35,1,
170,27,15,23,23,78,4,19,27,5,46,5,
171,21,49,15,50,27,46,44,5,86,43,7,
172,1,0,1,4,89,12,41,42,25,93,3,
173,40,73,42,2,58,26,87,71,25,13,6,
174,52,41,13,21,86,81,99,31,2,8,1,
175,27,67,37,77,38,59,26,6,21,70,9,
176,4,1,43,95,61,7,43,37,10,59,7,
177,74,32,6,74,88,23,19,74,33,100,9,
178,16,95,72,49,23,16,91,46,34,1,5,
179,26,12,25,16,15,3,18,8,15,26,0,
180,35,22,11,60,60,3,14,38,38,2,4,
181,44,49,66,49,89,89,81,61,52,39,0,
182,11,5,76,28,75,15,99,56,77,31,2,
183,32,75,24,21,91,8,26,24,38,62,7,
184,19,17,19,13,1,12,9,43,19,10,8,
185,69,14,83,25,58,65,92,10,66,65,1,
186,31,41,44,56,84,72,11,95,83,86,5,
187,35,48,18,28,31,35,46,18,34,36,3,
188,20,3,27,24,7,9,17,23,1,2,4,
189,31,20,4,46,48,20,17,35,30,16,6,
190,32,28,80,80,52,2,75,30,30,64,7,
191,80,33,29,8,34,32,100,83,39,81,6,
192,31,76,47,5,7,9,1,34,52,93,5,
193,95,98,76,18,21,99,40,87,4,26,10,
194,92,91,96,31,6,6,92,68,20,35,6,
195,35,16,5,1,34,95,54,1,84,6,7,
196,44,71,45,0,88,94,7,78,99,48,2,
197,1,7,5,1,71,11,21,45,45,4,6,
198,14,52,96,93,53,48,10,92,91,45,2,
199,55,95,6,52,10,22,2,7,98,89,6,
200,17,56,93,66,61,68,86,31,83,41,4,
201,85,0,9,69,11,85,3,15,18,92,9,
202,84,49,3,22,42,79,79,39,45,56,7,
203,28,35,37,9,10,20,5,7,49,10,0,
204,28,35,49,8,15,39,30,30,27,11,8,
205,33,32,62,54,75,62,38,24,15,10,2,
206,40,22,12,10,26,40,1,7,11,43,2,
207,60,19,25,22,3,8,19,43,62,27,5,
208,33,89,33,77,50,9,87,65,42,41,4,
209,76,74,31,21,42,4,58,33,98,24,6,
210,43,20,5,12,3,16,7,57,28,40,4,
211,45,68,23,86,15,40,6,35,54,65,9,
212,10,13,15,17,32,18,30,10,25,37,4,
213,8,29,27,28,24,14,11,21,49,4,3,
214,89,25,61,10,9,1,5,23,8,20,3,
215,74,9,36,92,91,84,85,47,11,90,9,
216,35,24,39,28,43,12,13,8,10,27,3,
217,96,98,65,34,23,26,52,77,28,28,1,
218,55,83,70,32,55,89,85,84,4,29,4,
219,41,37,28,3,9,0,9,62,44,67,0,
220,45,79,95,96,70,17,28,94,67,39,1,
221,12,86,89,91,24,12,36,18,60,54,4,
222,64,51,44,38,70,30,48,96,24,41,9,
223,12,40,39,25,10,4,3,45,6,50,8,
224,30,40,5,77,2,3,4,15,4,25,7,
225,60,25,27,97,71,83,91,11,40,69,7,
226,70,37,2,9,1,1,6,12,25,13,9,
227,85,58,74,81,13,27,63,17,25,8,0,
228,99,95,15,4,41,6,7,28,43,39,6,
229,92,33,26,44,97,63,66,76,31,61,9,
230,9,62,32,94,95,24,52,96,79,86,1,
231,49,14,9,69,78,20,0,31,16,45,3,
232,9,6,8,76,77,82,6,6,7,4,10,
233,85,27,72,3,13,94,41,17,9,88,9,
234,20,13,0,25,46,10,25,24,14,12,2,
235,84,28,9,56,96,56,37,12,96,46,2,
236,40,49,79,8,95,61,21,41,64,65,9,
237,14,72,54,81,60,49,88,36,27,20,3,
238,33,35,17,39,22,4,17,4,24,32,2,
239,13,97,21,39,2,59,12,20,81,5,9,
240,3,6,4,5,7,27,22,65,62,31,5,
241,60,69,79,0,1,7,2,45,91,22,0,
242,38,57,13,83,68,99,5,93,28,49,3,
243,67,26,57,56,28,75,64,6,47,15,8,
244,80,68,23,16,63,9,24,20,85,55,2,
245,51,68,21,5,44,75,89,74,44,86,4,
246,5,9,46,85,77,54,12,91,41,2,7,
247,48,25,34,34,38,29,31,1,31,17,1,
248,73,5,73,46,49,34,5,47,58,89,2,
249,66,2,9,4,9,50,94,96,59,51,1,
250,70,35,1,63,25,59,19,91,28,57,10,
251,6,14,6,59,61,33,17,35,22,25,3,
252,77,77,49,35,43,47,10,7,1,6,9,
253,24,75,10,95,37,50,56,53,19,61,7,
254,11,93,13,6,67,7,96,20,14,37,10,
255,20,28,13,78,28,29,86,79,50,8,9,
256,45,44,61,12,84,10,82,72,81,88,4,
257,43,14,37,24,8,5,1,56,37,12,6,
258,26,38,26,5,5,6,8,24,22,12,10,
259,58,22,6,0,1,11,11,15,22,24,1,
260,13,26,93,90,93,44,94,40,5,99,1,
261,76,27,29,5,60,32,13,47,46,22,2,
262,77,25,79,17,94,29,23,69,2,94,6,
263,43,26,35,19,13,24,49,34,8,15,7,
264,78,97,45,66,30,90,85,27,12,40,8,
265,48,61,37,47,20,5,95,25,49,91,10,
266,68,1,5,14,6,6,7,32,11,3,4,
267,22,45,17,49,40,19,88,70,4,92,7,
268,43,24,34,77,19,79,23,78,62,31,9,
269,62,10,55,47,40,70,34,70,23,59,4,
270,50,14,2,30,14,0,7,32,19,15,7,
271,73,86,46,16,77,64,6,94,33,35,10,
272,92,25,55,38,41,61,14,66,82,52,6,
273,2,8,6,9,10,79,41,95,73,83,3,
274,26,22,55,47,37,49,2,51,36,25,5,
275,36,60,93,60,99,99,14,2,84,12,2,
276,14,19,85,9,85,36,38,24,83,25,1,
277,19,24,10,30,33,32,71,40,51,10,7,
278,26,1,83,48,20,26,38,79,52,97,1,
279,36,93,8,40,68,43,72,41,15,54,4,
280,6,3,10,22,52,19,63,50,18,33,1,
281,77,18,6,55,71,7,20,25,13,67,1,
282,56,25,0,3,2,40,25,11,1,4,4,
283,4,79,24,63,45,89,15,31,75,61,7,
284,49,36,6,53,8,11,29,3,25,82,6,
285,71,78,22,83,16,93,9,80,48,55,6,
286,8,2,2,9,97,62,11,63,67,71,5,
287,6,66,37,9,65,81,91,87,95,9,10,
288,10,4,5,7,54,26,46,6,47,19,8,
289,76,71,97,20,71,11,85,47,77,16,9,
290,19,6,7,77,68,22,20,19,22,16,2,
291,5,48,65,79,37,18,34,10,40,16,9,
292,94,40,13,96,13,59,3,6,5,8,2,
293,97,6,89,33,61,52,88,58,79,98,6,
294,45,28,2,2,29,9,15,19,29,39,9,
295,8,81,95,34,18,84,83,27,89,56,4,
296,50,65,70,3,5,8,6,49,14,88,6,
297,70,11,35,50,50,51,51,1,83,65,4,
298,46,7,6,40,26,18,15,45,1,22,5,
299,9,7,8,4,92,22,75,65,58,65,1,
300,91,41,93,23,78,81,48,93,85,81,4,
301,70,8,15,49,31,1,2,22,15,34,9,
302,3,16,21,55,76,14,38,26,21,21,0,
303,2,54,24,2,1,10,5,91,74,35,4,
304,10,21,30,2,9,2,2,6,20,42,8,
305,44,25,27,25,8,17,2,37,19,36,1,
306,14,28,8,9,62,48,0,35,17,1,2,
307,92,83,74,26,16,15,88,91,28,15,7,
308,36,47,75,12,92,16,9,5,4,5,1,
309,41,27,16,9,1,10,7,11,11,6,2,
310,27,69,75,4,9,2,9,47,92,69,5,
311,17,59,26,2,9,15,5,72,47,69,5,
312,48,23,8,20,27,20,11,40,1,38,6,
313,29,60,43,6,41,26,7,82,6,37,3,
314,38,33,3,14,11,10,2,39,4,50,7,
315,48,9,23,38,29,5,8,2,9,40,10,
316,3,17,51,43,40,65,39,31,84,73,4,
317,99,76,43,47,96,20,12,49,65,28,6,
318,77,71,16,78,71,9,35,39,62,17,6,
319,25,62,38,4,6,0,0,56,43,43,7,
320,43,25,96,72,17,31,54,53,7,13,3,
321,32,24,14,25,6,14,0,42,43,38,7,
322,16,37,8,67,35,5,55,45,17,48,2,
323,84,82,1,3,71,90,52,60,42,70,5,
324,50,78,85,53,80,21,9,8,3,4,9,
325,47,91,41,21,65,20,10,9,5,0,4,
326,32,66,77,23,96,60,1,59,42,28,7,
327,43,33,43,19,34,30,36,37,26,3,2,
328,76,34,60,5,44,30,42,29,98,12,9,
329,4,4,54,80,4,95,61,2,47,34,6,
330,12,77,48,26,26,2,51,41,11,42,0,
331,32,60,42,65,80,70,33,20,47,90,3,
332,63,47,59,94,80,54,16,30,12,55,2,
333,96,100,77,70,5,44,10,24,76,37,9,
334,43,56,33,92,71,3,39,31,79,28,8,
335,81,74,15,8,7,9,7,93,91,66,2,
336,68,75,7,63,84,68,64,54,45,71,8,
337,50,8,5,38,28,34,8,32,10,18,4,
338,4,44,49,45,41,96,75,51,52,58,3,
339,26,29,10,14,34,19,48,19,13,46,0,
340,32,19,34,6,68,2,9,29,16,23,1,
341,2,27,9,8,12,10,16,10,0,20,2,
342,29,34,27,2,42,5,17,12,17,10,2,
343,40,18,38,36,21,6,65,83,81,7,0,
344,23,81,49,22,33,23,9,1,10,3,7,
345,7,6,8,2,75,0,94,14,87,39,5,
346,68,1,18,48,38,88,70,16,66,30,6,
347,0,55,75,80,95,25,37,37,26,59,6,
348,97,58,87,61,71,57,99,52,98,15,4,
349,44,47,43,50,23,44,11,49,0,34,5,
350,13,58,77,69,46,66,7,43,24,74,9,
351,12,35,31,32,0,29,14,35,45,4,1,
352,1,48,4,27,14,36,1,25,13,45,1,
353,29,7,58,20,20,59,87,19,36,30,9,
354,81,61,31,66,91,79,37,11,78,41,8,
355,94,28,79,55,15,89,41,9,88,44,5,
356,64,74,49,72,43,38,81,85,61,92,4,
357,2,37,74,30,47,66,15,18,7,99,2,
358,6,9,5,7,55,93,72,81,41,31,6,
359,10,26,0,43,71,55,0,10,5,89,4,
360,8,1,15,70,68,18,11,12,38,1,3,
361,58,99,26,88,9,12,21,33,51,35,6,
362,87,55,88,42,82,64,61,98,49,25,2,
363,42,34,76,20,33,11,7,83,98,4,2,
364,87,72,21,77,64,73,1,28,35,79,3,
365,96,61,52,61,23,57,85,26,12,86,1,
366,65,66,78,18,32,65,6,32,79,32,4,
367,10,30,25,49,45,6,15,9,10,5,8,
368,22,63,55,17,37,48,18,77,49,64,5,
369,62,31,75,62,59,81,78,45,11,18,1,
370,35,55,29,57,22,86,8,64,28,79,3,
371,40,8,55,62,50,22,88,52,53,95,2,
372,10,6,60,94,63,11,38,62,77,58,8,
373,46,46,91,25,18,70,73,8,91,87,2,
374,87,62,99,89,27,70,54,70,54,49,7,
375,76,81,63,81,3,46,79,91,96,86,8,
376,57,88,48,11,11,46,35,69,77,60,9,
377,53,86,18,8,6,0,5,89,66,47,7,
378,93,9,5,64,26,70,33,89,54,39,6,
379,97,66,66,41,84,63,96,35,73,12,2,
380,46,70,54,45,6,63,35,38,41,78,5,
381,30,21,79,76,66,89,32,42,61,27,6,
382,75,47,69,91,50,38,6,6,7,6,1,
383,42,94,77,38,19,57,1,8,9,4,8,
384,17,32,56,57,14,24,25,90,20,60,6,
385,3,21,58,94,85,75,61,29,27,18,8,
386,10,13,3,42,1,19,10,37,14,79,2,
387,75,68,83,69,83,9,91,98,82,1,7,
388,9,9,3,10,68,99,43,39,93,38,0,
389,49,48,47,35,8,87,11,42,96,29,3,
390,72,90,54,82,22,93,19,24,42,87,6,
391,18,16,69,70,34,1,61,25,29,74,3,
392,43,62,17,69,61,100,0,88,29,7,3,
393,64,76,2,67,2,20,94,76,63,84,6,
394,24,39,5,29,60,1,15,16,12,31,6,
395,14,55,99,79,94,50,9,81,8,86,4,
396,35,41,4,51,11,17,8,8,17,4,1,
397,47,41,10,10,37,9,28,23,6,24,4,
398,82,19,13,55,8,100,57,18,39,26,1,
399,8,65,61,16,9,65,8,18,56,38,5,
400,76,84,69,26,33,88,61,94,91,98,4,
401,8,49,97,8,17,14,9,7,2,2,9,
402,26,49,56,41,64,84,16,97,70,79,4,
403,4,16,16,5,6,1,13,44,16,35,0,
404,82,53,90,79,9,27,13,65,19,64,8,
405,64,84,94,77,17,57,41,97,48,62,9,
406,94,58,83,48,12,75,98,66,28,76,9,
407,51,5,81,61,2,90,6,76,35,74,2,
408,93,70,32,82,96,81,76,36,81,26,6,
409,1,31,2,46,51,12,2,24,22,26,4,
410,69,25,14,42,16,2,60,68,62,77,1,
411,95,34,27,75,17,6,19,60,37,54,1,
412,14,14,5,84,42,23,2,3,4,40,8,
413,34,37,9,29,79,45,15,31,28,42,5,
414,66,28,2,6,34,18,2,9,4,67,3,
415,2,0,0,6,96,10,87,2,60,55,2,
416,22,53,90,37,24,83,50,87,8,86,8,
417,93,44,91,45,14,34,43,13,87,47,3,
418,24,96,32,10,1,6,5,45,22,21,3,
419,57,54,61,86,79,59,68,91,68,37,3,
420,28,2,19,33,11,4,5,48,14,75,4,
421,5,7,9,4,23,92,42,40,24,38,3,
422,41,23,85,79,82,74,11,44,42,36,0,
423,92,17,13,99,11,20,85,2,26,27,2,
424,57,11,19,34,11,9,13,38,9,24,9,
425,34,4,18,9,3,98,95,8,56,34,6,
426,79,55,63,9,32,9,9,59,98,77,5,
427,44,52,56,83,12,10,47,37,31,19,5,
428,80,46,3,39,54,77,89,98,81,23,6,
429,51,14,82,28,5,7,81,99,27,40,8,
430,8,30,34,56,55,43,53,24,76,55,6,
431,34,37,1,16,54,34,39,72,42,11,7,
432,46,39,11,4,19,2,15,46,7,17,9,
433,88,4,96,27,17,59,91,34,26,5,3,
434,7,74,39,13,93,79,94,27,86,38,8,
435,10,80,71,24,92,87,57,54,59,36,1,
436,61,25,15,61,22,93,78,31,81,2,6,
437,55,44,97,3,7,9,7,61,96,73,7,
438,6,28,89,9,8,48,7,5,9,83,4,
439,70,82,44,84,98,55,10,91,15,61,7,
440,53,86,73,95,98,15,36,55,36,97,1,
441,9,50,5,85,32,30,21,66,17,60,7,
442,72,20,37,84,21,44,67,78,2,11,3,
443,11,10,22,90,60,72,90,47,81,76,0,
444,18,58,54,97,68,8,88,22,42,89,8,
445,21,38,0,21,20,42,17,15,23,6,6,
446,20,63,6,34,90,75,13,90,99,45,9,
447,9,8,8,3,22,4,72,86,73,17,1,
448,1,6,1,2,67,32,67,71,56,40,6,
449,5,14,27,52,16,5,55,30,7,47,0,
450,4,84,41,69,59,43,10,17,95,18,0,
451,96,34,94,9,4,3,2,92,13,79,1,
452,5,6,9,9,36,76,21,84,24,70,8,
453,32,6,13,77,93,62,88,71,93,98,2,
454,19,7,38,16,11,7,8,23,18,1,0,
455,21,8,2,28,40,36,7,3,28,7,4,
456,74,78,65,51,61,44,10,31,3,22,9,
457,23,97,40,28,8,39,94,23,99,48,9,
458,10,16,46,67,12,38,47,19,67,23,6,
459,53,87,47,3,8,4,6,5,39,13,2,
460,65,35,58,11,68,80,67,90,24,3,10,
461,20,60,87,84,73,34,20,44,24,43,7,
462,44,68,41,1,48,51,45,31,46,40,0,
463,1,47,8,83,68,22,4,16,19,35,5,
464,73,41,98,92,94,61,29,49,76,60,2,
465,39,17,62,87,48,32,72,74,73,76,6,
466,7,9,4,8,25,14,11,32,7,1,8,
467,52,96,31,74,12,20,26,12,49,32,1,
468,60,90,5,13,99,48,30,31,11,69,9,
469,84,56,28,49,93,6,9,9,2,8,9,
470,94,100,64,41,53,95,74,38,45,99,8,
471,50,77,21,1,2,7,7,47,93,91,3,
472,9,91,32,72,100,37,29,37,36,33,1,
473,31,67,31,13,37,45,65,28,63,11,6,
474,5,41,60,73,94,96,5,1,8,8,2,
475,27,23,47,1,24,62,52,34,42,54,4,
476,80,62,55,35,42,16,9,12,33,35,4,
477,39,51,43,83,88,62,12,33,81,60,6,
478,57,6,3,47,41,20,17,48,7,54,5,
479,7,88,68,34,76,82,82,32,87,3,5,
480,15,28,29,33,35,10,5,21,3,78,4,
481,12,29,29,43,54,5,51,26,38,21,4,
482,44,4,45,61,87,97,12,87,63,64,10,
483,97,52,72,72,81,87,72,21,40,72,7,
484,6,37,22,11,25,8,12,36,30,43,10,
485,65,31,69,23,76,14,54,83,64,93,1,
486,25,16,38,28,35,17,27,21,14,22,2,
487,10,37,23,99,41,94,77,46,11,65,4,
488,2,2,7,2,10,80,14,53,59,42,9,
489,77,71,83,34,32,24,85,23,59,69,6,
490,6,47,98,23,42,78,23,26,70,39,7,
491,32,9,24,36,6,11,15,19,38,34,4,
492,11,26,1,21,71,16,25,38,34,34,4,
493,74,75,98,20,94,25,52,96,56,86,5,
494,24,26,20,67,54,69,59,46,42,25,7,
495,54,79,48,78,53,87,86,92,17,98,6,
496,8,24,7,45,22,14,20,37,6,44,5,
497,96,69,84,89,8,40,41,57,80,3,2,
498,21,19,9,21,72,18,17,1,28,15,8,
499,16,39,59,41,53,36,43,76,11,6,8,
500,6,46,29,51,90,28,98,99,23,99,2,
501,54,32,16,28,13,10,19,8,26,8,2,
502,10,93,44,10,54,33,1,5,3,5,10,
503,81,50,11,30,44,86,96,50,20,18,6,
504,19,16,1,63,1,27,2,2,6,5,7,
505,45,39,5,24,6,19,19,29,24,5,5,
506,27,37,8,45,86,90,2,95,15,64,0,
507,37,17,19,13,3,43,17,7,10,36,9,
508,41,76,65,17,32,87,17,57,21,30,2,
509,28,33,42,69,98,2,74,61,89,38,4,
510,39,4,28,7,38,17,41,33,0,23,3,
511,48,79,50,10,30,2,19,94,92,47,10,
512,50,16,29,81,16,66,59,42,94,12,6,
513,7,27,2,41,26,41,6,46,43,20,8,
514,63,32,69,98,24,4,31,80,76,20,8,
515,55,78,77,49,65,93,32,62,9,64,0,
516,59,15,37,7,3,10,9,72,55,56,1,
517,95,46,18,92,77,35,64,29,58,15,7,
518,49,23,36,70,96,53,75,74,14,38,2,
519,5,20,89,84,53,82,98,10,79,98,9,
520,55,13,30,18,30,6,12,13,27,32,5,
521,12,11,54,9,66,9,6,93,32,31,2,
522,61,43,90,21,38,79,68,41,78,7,9,
523,62,16,81,78,17,7,5,97,12,12,1,
524,31,18,6,39,39,21,4,9,15,1,3,
525,40,12,90,5,43,46,79,4,60,14,3,
526,72,97,13,20,73,93,61,88,36,2,5,
527,32,39,56,30,22,65,2,2,1,7,2,
528,50,27,34,25,10,5,16,13,9,47,7,
529,97,46,50,99,79,35,78,16,87,62,6,
530,26,91,48,4,85,5,47,90,42,6,3,
531,53,93,88,57,85,21,86,29,41,26,2,
532,28,37,8,84,72,41,14,7,46,46,10,
533,3,99,56,11,7,96,7,74,59,17,7,
534,16,29,4,3,6,17,13,32,10,20,5,
535,3,39,28,0,1,0,10,60,2,85,10,
536,82,74,22,12,15,82,6,36,47,42,8,
537,33,8,3,18,21,30,20,20,11,8,10,
538,18,66,64,44,82,87,43,13,62,96,7,
539,90,2,62,42,91,8,24,66,15,24,2,
540,97,47,95,94,37,49,92,91,11,43,6,
541,31,57,70,68,9,16,76,63,32,43,9,
542,99,27,22,2,10,52,1,26,82,17,9,
543,60,12,51,93,75,40,16,21,92,87,7,
544,39,63,54,82,69,23,44,74,88,11,6,
545,62,20,36,4,13,1,1,30,23,35,2,
546,57,62,99,32,52,40,32,33,75,55,2,
547,19,30,7,71,21,1,70,38,21,23,1,
548,60,62,55,22,82,79,93,73,41,12,1,
549,4,9,2,16,25,36,18,11,30,14,3,
550,45,17,35,36,10,23,56,5,13,72,3,
551,44,79,6,16,22,25,28,61,59,46,1,
552,44,35,8,20,11,2,36,45,37,14,8,
553,100,54,74,7,34,73,96,31,23,94,2,
554,70,84,35,28,52,33,13,37,24,70,6,
555,36,45,61,27,50,83,3,5,5,4,0,
